Gemuse Saft Real,1,1,1,0,17,0.8,0,3,0,,
Gin,0,1,1,0,263,0,0,0,0,,
Ginger Beer Bundaberg,1,1,1,0,43.5,1,1,10.8,0,,
Ice Coffee Jacobs,1,1,1,0,415,7.7,11.5,70.5,0,,
Ice Tea ceai verde light Sun Gold,1,1,1,0,0.9,0.1,0.1,0.1,0,,
Ice tea de lamaie Lipton,1,1,1,0,26,0,0,6.7,0,,
Ice Tea Green Tea Mint Lipton,1,1,1,0,28,0,0,6.9,0,,
Ice Tea lemon light Sun Gold,1,1,1,0,0.9,0.1,0.1,0.1,0,,
Ice Tea Lemon San Benedetto,1,1,1,0,34,0,0,8,0,,
Ice Tea Nestea Fructe de Padure,1,1,1,0,33,0,0,7.8,0,,
Ice Tea Nestea Lamaie,1,1,1,0,32,0,0,7.5,0,,
Ice tea Nestea Vitao,1,1,1,0,50,0,0,12,0,,
Ice Tea piersici light Sun Gold,1,1,1,0,0.9,0.1,0.1,0.1,0,,
Ice Tea piersici Nestea,1,1,1,0,29,0,0,6.8,0,,
Ice tea Swiss cannabis C-Ice,1,1,1,0,30,0,0,7.5,0,,
Ice Tea zmeura Lipton,1,1,1,0,30,0.5,0,7,0,,
Jack Daniels,0,1,1,0,222,0,0,0,0,,
Kaffee Latte Macchiato Muller,1,1,1,0,82,3.3,2.9,9.8,0,,
"Lapte 1,6% Aldi R",1,1,1,0,44,3,1.6,4.5,0,,
Lapte de cocos Leader Price,1,1,1,0,243,2,25,2.6,0,,
Lapte de soia cu ciocolata Soya Choco Provamel,1,1,1,0,83,3.8,2.4,11.2,0,,
Lapte de soia Sanitarium Lite,1,1,1,0,41,3.4,0.9,4.7,0.3,,
Lapte de soia simplu Alpro,1,1,1,0,43,3.3,0.3,2.8,0,,
Lapte din soia aroma de portocale Inedit,1,1,1,0,36,1.7,1.4,4.1,0,,
Lapte din soia simplu Inedit,1,1,1,0,18,1.9,1.1,0,0,,
Lapte din soia Soyaccino Sanitarium,1,1,1,0,57,3.1,1.5,7.7,0.1,,
Lapte orez si migdale Joya,1,1,1,0,73.3,0.8,0,12.5,0.6,,
"Lapte proaspat 1,5% Paco",1,1,1,0,45,3.2,1.5,4.7,0,,
Lapte soaa si migdale Alpro,1,1,1,0,24,1.1,0.5,3,0.2,,
Lapte soia original Alpro,1,1,1,0,38,3,1.8,2.5,0.5,,
Lapte soia Sanitarium,1,1,1,0,65,3.4,3.4,5,0,,
Lapte soia vanilla Original Alpro,1,1,1,0,85,3.2,1.9,13.5,0,,
Lichior absint,0,1,1,0,234,0,0,10,0,,
Lichior de fructe,0,1,1,0,215,0,0,28,0,,
Lichior Irish Cream Baileys,0,1,1,0,350,3.2,15.7,20,0,,
Limonata lamaie si grapefruit Tymbark,1,1,1,0,30,0,0,7.6,0.2,,
Martini,0,1,1,0,243,0,0,2,0,,
Milk shake de capsuni,1,1,1,0,113,3.4,2.8,18.9,0.4,,
Milkshake cu ciocolata,1,1,1,0,127,3.4,3.7,20.8,1.9,,
Milkshake cu gust de ciocolata Dr.Oetker,1,1,1,0,106.6,3.2,3.6,15.2,0.6,,
Must din struguri,1,1,1,0,126.5,0,0,28,0,,
Must fara alcool Castillo,1,1,1,0,12.8,0,0,3.2,0,,
Nectar caise Delice,1,1,1,0,56,0.3,0.1,13.7,0.4,,
Nectar de fructe Danfruit Multifruct,1,1,1,0,40,0.3,0,9.6,0.4,,
Nectar de grapefruit Cappy,1,1,1,0,98,0.3,0,23,0.1,,
Nectar de gutui Santal,1,1,1,0,45,0.2,0.2,10.3,0.6,,
Nectar de maracuya Don Simon,1,1,1,0,52,0.3,0,12.8,0,,
Nectar de pere Santal,1,1,1,0,57,0.2,0.1,13.7,1.3,,
Nectar de piersici Belsina Plus,1,1,1,0,60,0.2,0,14.4,0,,
Nectar de piersici Prigat,1,1,1,0,52,0,0,14,0,,
Nectar de portocale Ciao,1,1,1,0,50,0.3,0.1,12.1,0,,
Nectar din 12 fructe 365 Mega Image,1,1,1,0,24,0.2,0.1,5.2,0.1,,
Nectar light multivitamin Linessa,1,1,1,0,25,0,0,5.2,0,,
Nectar multivitamine Ciao,1,1,1,0,24,0.1,0,5.8,0,,
Nectar multivitamine mix de fructe rosii Becker's Bester,1,1,1,0,30,0.2,0.1,6.7,0,,
Nectar orange Solevita,1,1,1,0,33,0,0,7.6,0,,
Nectar piersici,1,1,1,0,54,0.3,0,13.9,0.6,,
Nectar piersici Fruttia,1,1,1,0,66,0.5,0,16.7,0,,
Nectar piersici Santal,1,1,1,0,59,0.2,0.1,13.9,0,,
Nectar portocale Belsina Plus,1,1,1,0,37,0.4,0.1,8.3,0,,
Nectar portocale Fruttia,1,1,1,0,50,0.5,0,12.1,0,,
Nectar portocale Tymbark,1,1,1,0,43,0.4,0.1,10.3,1,,
Nescafe Dolce Gusto Cafe au lait,1,1,1,0,400,21.2,20,29.4,8.2,,
Pina Colada,1,1,1,0,174,0.4,1.9,22.7,0.3,,
Racoritoare 7 Up,1,1,1,0,45,0,0,12,0,,
Racoritoare capsuni si banane Prigat Activ,1,1,1,0,44,0,0,11,0,,
Racoritoare caspsuni si banane Giusto Natura,1,1,1,0,49,0.1,0.1,11.8,0.1,,
Racoritoare cu gust tropical Giusto Natura,1,1,1,0,47,0.1,0,11.6,0.1,,
Racoritoare de portocale Mirinda,1,1,1,0,48,0,0,12.9,0,,
Racoritoare Fanta World,1,1,1,0,36.8,0,0,8.8,0,,
Racoritoare light de grapefruit Giusto Natura,1,1,1,0,8.3,0,0,1.8,0,,
Racoritoare light tropical Giusto Natura,1,1,1,0,8.6,0.1,0.1,1.9,0,,
Racoritoare Mirinda mere rosii,1,1,1,0,48,0,0,12.8,0,,
Racoritoare multivitamine Ciao,1,1,1,0,26,0.1,0,6.5,0,,
Racoritoare nectar capsuni si banane Prigat,1,1,1,0,56,0,0,14,0,,
Racoritoare nectar de pere Prigat,1,1,1,0,52,0,0,14,0,,
Racoritoare pink grapefruit Frutti Fresh,1,1,1,0,47,0.1,0.1,12,0,,
Racoritoare premium 100% portocale Cappy,1,1,1,0,46,0,0,11,0,,
Racoritoare San Terra Cola Kaufland,1,1,1,0,0.2,0,0,0,0,,
Red Bull,1,1,1,0,45,0.3,0.1,10.9,0,,
Rom,0,1,1,0,231,0,0,0,0,,
Rom Captain Morgan Original spiced,0,1,1,0,214.3,0,0,1.1,0,,
Sake,0,1,1,0,134,0.5,0,5,0,,
Sampanie demi-dulce,0,1,1,0,97,0.2,0,7,0,,
Sampanie demi-sec,0,1,1,0,83,0.1,0,3.4,0,,
Sampanie dulce,0,1,1,0,117,0.2,0,12,0,,
Sangria,0,1,1,0,150,0,0,18,0,,
Schweppes Bitter Lemon,1,1,1,0,52,0,0,12.6,0,,
Shake cu aroma ciocolata McDonalds,1,1,1,0,85,2,1.6,14.4,0.3,,
Sirop capsuni Laurul,1,1,1,0,255,0,0,65.9,0,,
